num_iter,lon,lat,u,v,point,point_type
43,19.640833834086248,54.859277939525654,-5.380530185867471,4.556039459943664,0,1
44,19.637768768180702,54.86071710189261,-5.357255690088099,4.563530435338241,0,1
45,19.634716447198947,54.862158753803264,-5.333341883830871,4.570998296569409,0,1
46,19.63167723049043,54.86360289279041,-5.3122330791712296,4.575709334685495,0,1
47,19.628649576894883,54.8650486108243,-5.283368284752095,4.582210046009776,0,1
48,19.625637815033826,54.866496536569,-5.244729014891843,4.591153348011736,0,1
49,19.622647398216472,54.86794752303102,-5.20633963071669,4.600032626391072,0,1
50,19.61967818865147,54.869401549507664,-5.1702712277973015,4.608210719008461,0,1
51,19.61672889457124,54.87085837605784,-5.152951726958388,4.611979138763562,0,1
52,19.61378905566937,54.872316458563205,-5.135518593594739,4.6163315726556045,0,1
53,19.610858729883944,54.873775987253374,-5.118130577505027,4.620675885125699,0,1
54,19.607937892703944,54.875236959908484,-5.102038630923732,4.623758546599036,0,1
55,19.605025832252267,54.87669896099378,-5.087619236838178,4.6251999130105785,0,1
56,19.602121629833245,54.87816144974004,-5.073235228010535,4.6266372863066705,0,1
57,19.59922526638023,54.87962442519901,-5.055435977337663,4.628454080187329,0,1
58,19.596338653361677,54.88108803273215,-5.028272752141724,4.631311267569914,0,1
59,19.593467030743057,54.882552670193334,-5.001242979682575,4.634153506039917,0,1
60,19.590610325240455,54.88401833295582,-4.974346842299168,4.63698077583913,0,1
61,19.58776846346122,54.88548501637278,-4.957521683268104,4.6386889586439946,0,1
62,19.58493581163938,54.88695229391753,-4.94345585904732,4.640090484120368,0,1
63,19.582110826621598,54.88842004904162,-4.934098898185208,4.639148916227268,0,1
64,19.579290894863107,54.88988749391033,-4.9257811454388385,4.637696530321684,0,1
65,19.576475439939422,54.89135445691267,-4.91614128758522,4.636244553476804,0,1
66,19.57366520396491,54.89282094720619,-4.906406952479845,4.635770635210659,0,1
67,19.570860229388582,54.894287281976325,-4.896688318500031,4.637159011493489,0,1
68,19.56806048663177,54.895754063542526,-4.878353015113442,4.6395041443592815,0,1
69,19.565270798590063,54.89722165865827,-4.858195376097121,4.642265151040802,0,1
70,19.56249218363615,54.89869021456564,-4.8403960201706955,4.645015562977295,0,1
71,19.55972331993189,54.900159712924754,-4.823603942505955,4.647324218914105,0,1
72,19.55696364835291,54.901630004886506,-4.815410150434345,4.6458691852208,0,1
73,19.55420838952664,54.90309981694807,-4.807230056434356,4.644414562795626,0,1
74,19.551457536331274,54.9045691494583,-4.799063637675317,4.642960351597767,0,1
75,19.548711081656425,54.906038002765044,-4.790908396214142,4.643170954954074,0,1
76,19.545969000395928,54.90750691530178,-4.7827650262083194,4.644528183288377,0,1
77,19.543231272953044,54.90897625797257,-4.77463517656257,4.645883158229335,0,1
78,19.540497892141705,54.91044603025758,-4.7669606037272505,4.647040853174683,0,1
79,19.53776860517527,54.911916165604744,-4.761415789439054,4.645585909555412,0,1
